CustomerKey,CustomerLabel,CustomerType
17487,28486,Person
12560,23559,Person
7241,18240,Person
8749,19748,Person
3108,14107,Person
15705,26704,Person
8290,19289,Person
908,11907,Person
7838,18837,Person
9279,20278,Person
16414,27413,Person
11658,22657,Person
17385,28384,Person
4995,15994,Person
12305,23304,Person
14257,25256,Person
10137,21136,Person
14778,25777,Person
4728,15727,Person
10365,21364,Person
17337,28336,Person
573,11572,Person
3299,14298,Person
7076,18075,Person
11186,22185,Person
4276,15275,Person
10690,21689,Person
1271,12270,Person
7659,18658,Person
18298,29297,Person
8844,19843,Person
10743,21742,Person
16050,27049,Person
9578,20577,Person
12236,23235,Person
2279,13278,Person
9502,20501,Person
10618,21617,Person
3191,14190,Person
176,11175,Person
712,11711,Person
2286,13285,Person
5199,16198,Person
14682,25681,Person
34,11033,Person
5163,16162,Person
17304,28303,Person
5365,16364,Person
12157,23156,Person
14090,25089,Person
10542,21541,Person
83,11082,Person
1905,12904,Person
3521,14520,Person
11366,22365,Person
14733,25732,Person
16162,27161,Person
17447,28446,Person
16986,27985,Person
12727,23726,Person
11663,22662,Person
1056,12055,Person
7736,18735,Person
1117,12116,Person
5212,16211,Person
10358,21357,Person
5330,16329,Person
11673,22672,Person
1178,12177,Person
5907,16906,Person
3149,14148,Person
13699,24698,Person
11473,22472,Person
1048,12047,Person
1911,12910,Person
2335,13334,Person
2489,13488,Person
4322,15321,Person
6463,17462,Person
15263,26262,Person
16573,27572,Person
10677,21676,Person
14631,25630,Person
12411,23410,Person
323,11322,Person
678,11677,Person
8768,19767,Person
12623,23622,Person
12764,23763,Person
13708,24707,Person
11814,22813,Person
8534,19533,Person
18233,29232,Person
6540,17539,Person
9118,20117,Person
16681,27680,Person
18365,29364,Person
18478,29477,Person
7703,18702,Person
7237,18236,Person
7324,18323,Person
9741,20740,Person
15612,26611,Person
3103,14102,Person
2472,13471,Person
5838,16837,Person
7800,18799,Person
9513,20512,Person
10634,21633,Person
10942,21941,Person
9936,20935,Person
1015,12014,Person
5682,16681,Person
12451,23450,Person
13767,24766,Person
3959,14958,Person
13540,24539,Person
17747,28746,Person
9156,20155,Person
4522,15521,Person
7924,18923,Person
10346,21345,Person
15731,26730,Person
13145,24144,Person
10962,21961,Person
7586,18585,Person
8207,19206,Person
9519,20518,Person
11892,22891,Person
5779,16778,Person
7871,18870,Person
15938,26937,Person
11053,22052,Person
12540,23539,Person
2991,13990,Person
10821,21820,Person
16854,27853,Person
3451,14450,Person
6590,17589,Person
17252,28251,Person
6649,17648,Person
7206,18205,Person
208,11207,Person
4907,15906,Person
7229,18228,Person
12262,23261,Person
4106,15105,Person
7176,18175,Person
13834,24833,Person
15869,26868,Person
4571,15570,Person
5894,16893,Person
14196,25195,Person
9566,20565,Person
12608,23607,Person
17729,28728,Person
2072,13071,Person
8026,19025,Person
9032,20031,Person
17171,28170,Person
15140,26139,Person
10148,21147,Person
10772,21771,Person
11889,22888,Person
12617,23616,Person
10960,21959,Person
15427,26426,Person
6862,17861,Person
14356,25355,Person
16338,27337,Person
1572,12571,Person
8619,19618,Person
14137,25136,Person
9770,20769,Person
17614,28613,Person
14988,25987,Person
16731,27730,Person
11869,22868,Person
1978,12977,Person
11234,22233,Person
1168,12167,Person
2173,13172,Person
2360,13359,Person
13816,24815,Person
6930,17929,Person
2425,13424,Person
5814,16813,Person
11977,22976,Person
12374,23373,Person
15302,26301,Person
11846,22845,Person
12003,23002,Person
16012,27011,Person
4262,15261,Person
8971,19970,Person
1043,12042,Person
3395,14394,Person
4304,15303,Person
6452,17451,Person
15098,26097,Person
484,11483,Person
4187,15186,Person
533,11532,Person
3007,14006,Person
4425,15424,Person
15922,26921,Person
16914,27913,Person
1804,12803,Person
5922,16921,Person
1260,12259,Person
11526,22525,Person
13177,24176,Person
1163,12162,Person
5725,16724,Person
6574,17573,Person
7808,18807,Person
12023,23022,Person
16297,27296,Person
8055,19054,Person
14180,25179,Person
15640,26639,Person
352,11351,Person
1824,12823,Person
7014,18013,Person
11519,22518,Person
3879,14878,Person
6621,17620,Person
13057,24056,Person
2324,13323,Person
3871,14870,Person
9645,20644,Person
14345,25344,Person
4435,15434,Person
17942,28941,Person
4857,15856,Person
12112,23111,Person
15128,26127,Person
17532,28531,Person
5232,16231,Person
8672,19671,Person
16620,27619,Person
18080,29079,Person
11646,22645,Person
8826,19825,Person
6758,17757,Person
17504,28503,Person
3508,14507,Person
6268,17267,Person
11360,22359,Person
11512,22511,Person
1251,12250,Person
203,11202,Person
18377,29376,Person
7853,18852,Person
13794,24793,Person
4552,15551,Person
15349,26348,Person
17015,28014,Person
9988,20987,Person
1533,12532,Person
3759,14758,Person
16557,27556,Person
11211,22210,Person
1567,12566,Person
3346,14345,Person
8809,19808,Person
8507,19506,Person
2207,13206,Person
6583,17582,Person
10153,21152,Person
17544,28543,Person
14230,25229,Person
16520,27519,Person
5890,16889,Person
9106,20105,Person
9636,20635,Person
11770,22769,Person
13436,24435,Person
13497,24496,Person
549,11548,Person
16838,27837,Person
4863,15862,Person
8801,19800,Person
14730,25729,Person
15400,26399,Person
7453,18452,Person
5015,16014,Person
6263,17262,Person
7637,18636,Person
14472,25471,Person
188,11187,Person
8020,19019,Person
15543,26542,Person
1853,12852,Person
8421,19420,Person
11560,22559,Person
7201,18200,Person
10140,21139,Person
11129,22128,Person
14331,25330,Person
18325,29324,Person
495,11494,Person
12783,23782,Person
10919,21918,Person
1702,12701,Person
9164,20163,Person
15033,26032,Person
13815,24814,Person
5536,16535,Person
11629,22628,Person
5639,16638,Person
3440,14439,Person
5990,16989,Person
1426,12425,Person
18328,29327,Person
4119,15118,Person
10075,21074,Person
10551,21550,Person
3365,14364,Person
3420,14419,Person
16022,27021,Person
8032,19031,Person
11384,22383,Person
2225,13224,Person
10314,21313,Person
17192,28191,Person
18078,29077,Person
400,11399,Person
445,11444,Person
13593,24592,Person
5759,16758,Person
6384,17383,Person
18175,29174,Person
5560,16559,Person
5483,16482,Person
11016,22015,Person
12363,23362,Person
13345,24344,Person
15105,26104,Person
490,11489,Person
1478,12477,Person
15571,26570,Person
16722,27721,Person
7099,18098,Person
12821,23820,Person
17243,28242,Person
1390,12389,Person
9316,20315,Person
10402,21401,Person
11330,22329,Person
2510,13509,Person
14801,25800,Person
10896,21895,Person
12649,23648,Person
4955,15954,Person
